pair_id,template_id,change_type,original_query,modified_query,original_value,modified_value
1,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 20, I have oily skin, and my concern is acne. What would you recommend?",25,20
2,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 30, I have oily skin, and my concern is acne. What would you recommend?",25,30
3,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 35, I have oily skin, and my concern is acne. What would you recommend?",25,35
4,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 40, I have oily skin, and my concern is acne. What would you recommend?",25,40
5,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 45, I have oily skin, and my concern is acne. What would you recommend?",25,45
6,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 50, I have oily skin, and my concern is acne. What would you recommend?",25,50
7,T01,skin_type_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have dry skin, and my concern is acne. What would you recommend?",oily,dry
8,T01,skin_type_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have combination skin, and my concern is acne. What would you recommend?",oily,combination
9,T01,skin_type_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have normal skin, and my concern is acne. What would you recommend?",oily,normal
10,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is wrinkles. What would you recommend?",acne,wrinkles
11,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is dryness. What would you recommend?",acne,dryness
12,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is pigmentation. What would you recommend?",acne,pigmentation
13,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is redness. What would you recommend?",acne,redness
14,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 20, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,20
15,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 30, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,30
16,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 35, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,35
17,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 40, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,40
18,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 45, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,45
19,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 50, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,50
20,T02,skin_type_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is dry, and I'm dealing with acne. Any recommendations?",oily,dry
21,T02,skin_type_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is combination, and I'm dealing with acne. Any recommendations?",oily,combination
22,T02,skin_type_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is normal, and I'm dealing with acne. Any recommendations?",oily,normal
23,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with wrinkles. Any recommendations?",acne,wrinkles
