pair_id,change_type,original_products,modified_products,original_prices,modified_prices,original_tone,modified_tone
1,age_change,"['La Roche-Posay Effac Ecz Keratolytic Face Wash', 'Neutrogena Oil-Free Salicylic Acid Acne Fighting Face Wash', 'Differin Adapalene Gel 0.1%']","['La Roche-Posay Effac Eczalys Unifining Treatment', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","[19.0, 8.0, 15.0]","[27.0, 10.0, 8.0]",neutral,neutral
2,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","['La Roche-Posay Effac E45 Cream', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","[18.0, 9.0, 16.0]","[25.0, 12.0, 30.0]",neutral,neutral
3,age_change,"['La Roche-Posay Effac Ekazelf Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eczimedium 400', 'Neutrogena Oil-Free Acne Wash', 'Differin Adapalene Gel 0.1%']","[28.0, 10.0, 14.0]","[25.0, 10.0, 18.0]",neutral,neutral
4,age_change,"['La Roche-Posay Effac Ealigen', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Efcient+ Anti-Blemish Corrector', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","[26.0, 13.0, 8.0]","[29.0, 10.0, 18.0]",neutral,neutral
5,age_change,"['La Roche-Posay Effac Eczkerin AK Pigment 40ml', 'The Ordinary Niacinamide 10% + Zinc 1%', 'Neutrogena Oil-Free Acne Wash']","['La Roche-Posay Effac Ecz Control Anti-Blemish Corrector', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","[28.0, 7.0, 8.0]","[26.0, 11.0, 28.0]",neutral,neutral
6,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Acne Wash', 'Differin Adapalene Gel 0.1%']","[20.0, 10.0, 30.0]","[23.0, 11.0, 25.0]",neutral,neutral
7,skin_type_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Toleriane Double Repair Moisturizer for Sensitive Skin', 'Neutrogena Oil-Free Moisture Facial Lotion for Sensitive Skin', 'The Ordinary Niacinamide 10% + Zinc 1%']","[24.0, 8.0, 7.0]","[25.0, 15.0, 7.0]",neutral,neutral
8,skin_type_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Salicylic Acid Acne Wash', 'Differin Gel']","[24.0, 10.0, 26.0]","[25.0, 10.0, 30.0]",neutral,neutral
9,skin_type_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac EczControl Cream', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","[22.0, 11.0, 9.0]","[25.0, 10.0, 30.0]",neutral,neutral
10,concern_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Ealergy Anti-Blemish Serum', 'Neutrogena Hydro Boost Water Gel', 'Olay Regenerist Micro-Sculpting Cream']","[18.0, 7.0, 25.0]","[30.0, 17.0, 24.0]",neutral,neutral
11,concern_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eucerin Oil Control Moisturizer', 'Neutrogena Hydro Boost Water Gel', 'Cetaphil Oil-Free Moisturizing Lotion']","[19.0, 7.0, 7.0]","[22.0, 15.0, 18.0]",neutral,neutral
12,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Pigmentclar Uneven Tone Correcting Serum', 'Neutrogena Oil-Free Moisture Cream', 'Differin Adapalene Gel 0.1%']","[28.0, 10.0, 8.0]","[46.0, 12.0, 28.0]",neutral,neutral
