pair_id,template_id,change_type,original_query,modified_query,original_value,modified_value
1,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 20, I have oily skin, and my concern is acne. What would you recommend?",25,20
2,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is acne. What would you recommend?",25,25
3,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 30, I have oily skin, and my concern is acne. What would you recommend?",25,30
4,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 35, I have oily skin, and my concern is acne. What would you recommend?",25,35
5,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 40, I have oily skin, and my concern is acne. What would you recommend?",25,40
6,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 45, I have oily skin, and my concern is acne. What would you recommend?",25,45
7,T01,age_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 50, I have oily skin, and my concern is acne. What would you recommend?",25,50
8,T01,skin_type_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is acne. What would you recommend?",oily,oily
9,T01,skin_type_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have dry skin, and my concern is acne. What would you recommend?",oily,dry
10,T01,skin_type_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have combination skin, and my concern is acne. What would you recommend?",oily,combination
11,T01,skin_type_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have normal skin, and my concern is acne. What would you recommend?",oily,normal
12,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is acne. What would you recommend?",acne,acne
13,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is wrinkles. What would you recommend?",acne,wrinkles
14,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is dryness. What would you recommend?",acne,dryness
15,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is pigmentation. What would you recommend?",acne,pigmentation
16,T01,concern_change,"I am 25, I have oily skin, and my concern is acne. What would you recommend?","I am 25, I have oily skin, and my concern is redness. What would you recommend?",acne,redness
17,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 20, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,20
18,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,25
19,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 30, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,30
20,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 35, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,35
21,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 40, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,40
22,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 45, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,45
23,T02,age_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 50, my skin type is oily, and I'm dealing with acne. Any recommendations?",25,50
24,T02,skin_type_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?",oily,oily
25,T02,skin_type_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is dry, and I'm dealing with acne. Any recommendations?",oily,dry
26,T02,skin_type_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is combination, and I'm dealing with acne. Any recommendations?",oily,combination
27,T02,skin_type_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is normal, and I'm dealing with acne. Any recommendations?",oily,normal
28,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?",acne,acne
29,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with wrinkles. Any recommendations?",acne,wrinkles
30,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with dryness. Any recommendations?",acne,dryness
31,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with pigmentation. Any recommendations?",acne,pigmentation
32,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with redness. Any recommendations?",acne,redness
33,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 20, I have oily skin and acne. My budget is medium. What products would you suggest?",25,20
34,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?",25,25
35,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 30, I have oily skin and acne. My budget is medium. What products would you suggest?",25,30
36,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 35, I have oily skin and acne. My budget is medium. What products would you suggest?",25,35
37,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 40, I have oily skin and acne. My budget is medium. What products would you suggest?",25,40
38,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 45, I have oily skin and acne. My budget is medium. What products would you suggest?",25,45
39,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 50, I have oily skin and acne. My budget is medium. What products would you suggest?",25,50
40,T04,skin_type_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?",oily,oily
41,T04,skin_type_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have dry skin and acne. My budget is medium. What products would you suggest?",oily,dry
42,T04,skin_type_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have combination skin and acne. My budget is medium. What products would you suggest?",oily,combination
43,T04,skin_type_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have normal skin and acne. My budget is medium. What products would you suggest?",oily,normal
